CVE_ID,Product,CVSS_Score,Historical_Attack_Data,Exploit_Status,Patch_Availability,Description,Severity,Timestamp
CVE-2020-0601,Microsoft Windows,6.7,88,Yes,Available,Real CVE affecting Microsoft Windows,High,02:05.5
CVE-2020-0796,Microsoft Windows,5.7,45,Yes,Available,Real CVE affecting Microsoft Windows,Low,02:05.5
CVE-2020-1350,Microsoft Windows DNS Server,5.3,48,Yes,Not Available,Real CVE affecting Microsoft Windows DNS Server,Low,02:05.5
CVE-2020-1472,Microsoft Netlogon,6.4,19,No,Available,Real CVE affecting Microsoft Netlogon,High,02:05.5
CVE-2020-14882,Oracle WebLogic Server,5.5,11,Yes,Available,Real CVE affecting Oracle WebLogic Server,Medium,02:05.5
CVE-2020-17087,Microsoft Windows Kernel,6.4,78,No,Not Available,Real CVE affecting Microsoft Windows Kernel,Low,02:05.5
CVE-2021-22986,F5 BIG-IP,6.3,13,No,Available,Real CVE affecting F5 BIG-IP,Medium,02:05.5
CVE-2021-26855,Microsoft Exchange Server,5.1,88,No,Not Available,Real CVE affecting Microsoft Exchange Server,Critical,02:05.5
CVE-2021-21972,VMware vCenter Server,6,58,No,Available,Real CVE affecting VMware vCenter Server,Critical,02:05.5
CVE-2021-34473,Microsoft Exchange Server,5.8,69,Yes,Not Available,Real CVE affecting Microsoft Exchange Server,Low,02:05.5
CVE-2021-34527,Microsoft Windows Print Spooler,8,50,Yes,Not Available,Real CVE affecting Microsoft Windows Print Spooler,Medium,02:05.5
CVE-2021-40444,Microsoft MSHTML,7.6,45,Yes,Not Available,Real CVE affecting Microsoft MSHTML,Critical,02:05.5
CVE-2022-0185,Linux Kernel,8,41,Yes,Available,Real CVE affecting Linux Kernel,Medium,02:05.5
CVE-2022-22965,Spring Framework,9.8,61,Yes,Not Available,Real CVE affecting Spring Framework,Critical,02:05.5
CVE-2022-26134,Atlassian Confluence,6.6,28,Yes,Available,Real CVE affecting Atlassian Confluence,High,02:05.5
CVE-2022-30190,Microsoft Windows Support Diagnostic Tool,7.8,71,No,Available,Real CVE affecting Microsoft Windows Support Diagnostic Tool,Critical,02:05.5
CVE-2022-3602,OpenSSL,6.5,76,No,Not Available,Real CVE affecting OpenSSL,Critical,02:05.5
CVE-2022-40684,Fortinet FortiOS,7.1,44,No,Not Available,Real CVE affecting Fortinet FortiOS,High,02:05.5
